Sobrevive,X1,X2,X3,X4,X5
TRUE,156,245,31.6,18.5,20.5
TRUE,154,240,30.4,17.9,19.6
TRUE,153,240,31,18.4,20.6
TRUE,153,236,30.9,17.7,20.2
TRUE,155,243,31.5,18.6,20.3
TRUE,163,247,32,19,20.9
TRUE,157,238,30.9,18.4,20.2
TRUE,155,239,32.8,18.6,21.2
TRUE,164,248,32.7,19.1,21.1
TRUE,158,238,31,18.8,22
TRUE,158,240,31.3,18.6,22
TRUE,160,244,31.1,18.6,20.5
TRUE,161,246,32.3,19.3,21.8
TRUE,157,245,32,19.1,20
TRUE,157,235,31.5,18.1,19.8
TRUE,156,237,30.9,18,20.3
TRUE,158,244,31.4,18.5,21.6
TRUE,153,238,30.5,18.2,20.9
TRUE,155,236,30.3,18.5,20.1
TRUE,163,246,32.5,18.6,21.9
TRUE,159,236,31.5,18,21.5
FALSE,155,240,31.4,18,20.7
FALSE,156,240,31.5,18.2,20.6
FALSE,160,242,32.6,18.8,21.7
FALSE,152,232,30.3,17.2,19.8
FALSE,160,250,31.7,18.8,22.5
FALSE,155,237,31,18.5,20
FALSE,157,245,32.2,19.5,21.4
FALSE,165,245,33.1,19.8,22.7
FALSE,153,231,30.1,17.3,19.8
FALSE,162,239,30.3,18,23.1
FALSE,162,243,31.6,18.8,21.3
FALSE,159,245,31.8,18.5,21.7
FALSE,159,247,30.9,18.1,19
FALSE,155,243,30.9,18.5,21.3
FALSE,162,252,31.9,19.1,22.2
FALSE,152,230,30.4,17.3,18.6
FALSE,159,242,30.8,18.2,20.5
FALSE,155,238,31.2,17.9,19.3
FALSE,163,249,33.4,19.5,22.8
FALSE,163,242,31,18.1,20.7
FALSE,156,237,31.7,18.2,20.3
FALSE,159,238,31.5,18.4,20.3
FALSE,161,245,32.1,19.1,20.8
FALSE,155,235,30.7,17.7,19.6
FALSE,162,247,31.9,19.1,20.4
FALSE,153,237,30.6,18.6,20.4
FALSE,162,245,32.5,18.5,21.1
FALSE,164,248,32.3,18.8,20.9
