begin description
Gladstone, R.J. (1905-1906), ``A Study of the Relations of the Brain to the
Size of the Head," Biometrika, 4, 105-123.
This is the full data set. 
A "-1" stands for a missing value. 
cause=cause of death, acute = 1, - = 2, chronic = 3
age = age
height= stature in inches
headht=head height in mm
length=head length in mm
breadth=head breadth in mm
size= headht*length*breadth, a measure of head size or volume
brnweight=y=brain weight in grams
circum = head circumference
cephalic = cephalic index
sex = gender 0=f, 1=m
ageclass = 0-child, 1-age 20-45, 2-over 45
end description
obs cause age height headht length breadth size brnweight circum cephalic sex ageclass
1   2 -1 67    141   200   160   4512 1530 574 80.0 1 1
2   1 39 68    137   182.5 149.5 3738 1297 550 81.9 1 1
3   3 35 71    139   201   152.5 4261 1335 569 75.9 1 1
4   3 35 70    134.5 193   145.5 3777 1282 542 75.4 1 1
5   1 37 68    140   195   153   4177 1590 576 78.5 1 1
6   2 34 65    132   186   146   3585 1300 547 78.5 1 1
7   3 38 68    137.5 192.5 143   3785 1400 549 74.2 1 1
8   3 45 69.5  134.5 189   140   3559 1255 535 74.1 1 1
9   2 45 68    132.5 185.5 147   3613 1355 555 79.2 1 1
10  2 40 64    135   196   150.5 3982 1375 565 76.7 1 1
11  3 21 66    132   185   141   3443 1340 537 76.2 1 1
12  2 42 63    136.5 197   148.5 3993 1380 570 75.4 1 1
13  2 25 69.75 136   188.5 142   3640 1355 558 75.3 1 1
14  1 23 66.5  138   198   154   4208 1522 576 77.8 1 1
15  2 45 71    132   191   152   3832 1208 561 79.6 1 1
16  1 41 60.5  135   194   148   3876 1405 569 76.3 1 1
17  1 28 63.5  130   183   147   3497 1358 551 80.3 1 1
18  3 45 65    130   184.5 144.5 3466 1292 541 78.3 1 1
19  1 20 71.5  126   178   138   3095 1340 517 77.5 1 1
20  3 43 68    144   192   160   4424 1400 580 83.3 1 1
21  3 43 68.5  137   190   149   3878 1357 568 78.4 1 1
22  2 25 68.5  130   197   158   4046 1287 582 80.2 1 1
23  3 29 68.5  137.5 189.5 146   3804 1275 554 77.0 1 1
24  3 40 68.5  135   182   151   3710 1270 541 83.0 1 1
25  1 -1 71    142   199   168   4747 1635 602 84.4 1 1
26  1 40 72.5  135   195   168   4423 1505 577 86.2 1 1
27  2 29 69.25 135   198   151   4036 1490 564 76.3 1 1
28  2 35 70.5  138   193   151   4022 1485 570 78.2 1 1
29  2 27 69.5  135   184   139   3454 1310 537 75.5 1 1
30  1 20 69    142   200   147   4175 1420 574 73.5 1 1
31  3 38 68.5  136   182   153   3787 1318 567 84.1 1 1
32  2 24 69.75 135   190   148   3796 1432 564 77.9 1 1
33  2 41 70.5  138   187   159   4103 1364 574 85.0 1 1
34  3 45 71    137   191   159   4161 1405 584 83.2 1 1
35  3 41 67    139   195.5 153   4158 1432 574 78.3 1 1
36  2 37 61    134   191   149   3814 1207 548 78.0 1 1
37  2 29 65    135   184   142   3527 1375 530 77.2 1 1
38  1 36 61.5  131   187   153   3748 1350 560 81.8 1 1
39  3 21 61    129   182   142   3334 1236 528 78.0 1 1
40  3 38 62.5  129   192   141   3492 1250 540 73.4 1 1
41  3 42 61.5  134   194.5 152   3962 1350 558 78.1 1 1
42  3 43 62.5  129   190   143   3505 1320 539 75.3 1 1
43  3 37 66    138.5 201   155   4315 1525 587 77.1 1 1
44  1 31 67.5  130   190   154   3804 1570 550 81.1 1 1
45  3 34 69    131.5 192   153   3863 1340 563 79.7 1 1
46  3 44 69    134   193   156   4034 1422 578 80.8 1 1
47  3 24 69.5  142   192   158   4308 1506 569 82.3 1 1
48  3 28 68.5  124   181   141   3165 1215 510 77.9 1 1
49  3 44 67    134   190   143   3641 1311 545 75.3 1 1
50  1 43 66.5  132.5 191   144   3644 1300 555 75.4 1 1
51  3 44 68.5  130.5 193   154.5 3891 1224 570 80.1 1 1
52  1 38 68.5  132   193.5 148.5 3793 1350 560 76.7 1 1
53  3 35 70    136   195   161   4270 1335 558 82.6 1 1
54  1 39 69    132   190   162   4063 1390 557 85.3 1 1
55  1 36 69    135   193   154   4012 1400 569 79.8 1 1
56  3 43 66    125   182   152   3458 1225 538 83.5 1 1
57  3 42 60.5  134   191   152   3890 1310 549 79.6 1 1
58  2 50 68    140   192   155   4166 1560 560 80.7 1 2
59  3 47 69    139   190   149   3935 1330 544 78.4 1 2
60  2 47 67    132   193   144   3669 1222 556 74.6 1 2
61  3 49 64.5  133   190   153   3866 1415 553 80.5 1 2
62  1 50 69    130   180   145   3393 1175 530 80.6 1 2
63  3 48 69.5  139   201   159   4442 1330 585 79.1 1 2
64  2 47 69    136.5 201   155   4253 1485 585 77.1 1 2
65  1 50 72.25 129.5 195   148   3737 1470 568 75.9 1 2
66  1 48 64.5  124.5 182.5 146.5 3329 1135 541 80.3 1 2
67  2 47 67    132   183.5 141   3415 1310 548 76.8 1 2
68  2 50 68    122   188   147   3372 1154 550 78.2 1 2
69  3 48 68    141   204   154   4430 1510 583 75.5 1 2
70  2 49 68.5  139   197   160   4381 1415 589 81.2 1 2
71  3 48 69.5  138.5 191   151.5 4008 1468 564 79.3 1 2
72  2 49 69    135   188   152   3858 1390 563 80.9 1 2
73  2 48 66    137   188   160   4121 1380 576 85.1 1 2
74  1 50 69.5  131   196   158   4057 1432 575 80.6 1 2
75  3 69 69.5  136   190   148   3824 1240 560 77.9 1 2
76  2 -1 63    126   184.5 146   3394 1195 540 79.1 1 2
77  1 58 67    131   183.5 148   3558 1225 540 80.7 1 2
78  2 57 69    130.5 184   140   3362 1188 544 76.1 1 2
79  3 67 68.5  137   187.5 153   3930 1252 569 81.6 1 2
80  1 61 66    136   188   150   3835 1315 552 79.8 1 2
81  2 53 69    138   185   150   3830 1245 545 81.1 1 2
82  1 60 68.5  139   190   146   3856 1430 564 76.8 1 2
83  3 58 70    128   180   141   3249 1279 532 78.3 1 2
84  3 55 67.5  131   187   146   3577 1245 572 78.1 1 2
85  1 57 67    132   196   152   3933 1309 569 77.6 1 2
86  2 75 67.5  133   193   150   3850 1412 553 77.7 1 2
87  2 63 61    125.5 187   141   3309 1120 534 75.4 1 2
88  2 69 67.25 128.5 188   141   3406 1220 540 75   1 2
89  1 -1 65    130   186   145   3506 1280 538 78   1 2
90  3 52 63.25 132   196   151   3907 1440 552 77   1 2
91  3 66 71.5  142   194   151   4160 1370 570 77.8 1 2
92  3 67 69.5  128   180   144   3318 1192 531 80.0 1 2
93  2 67 67    138   183   145   3662 1230 524 79.2 1 2
94  1 53 63    137   191   149   3899 1346 568 78.0 1 2
95  3 55 63    132   196   143   3700 1290 551 73.0 1 2
96  1 56 65    133   192   148   3779 1165 558 77.1 1 2
97  3 54 65    130   185.5 144   3473 1240 530 77.6 1 2
98  3 59 63    136   182   141   3490 1132 528 77.5 1 2
99  1 65 65.5  128   183   156   3654 1242 544 85.2 1 2
100 3 59 64    128   190   143   3478 1270 536 75.3 1 2
101 3 60 65.5  128   184.5 148   3495 1218 525 80.2 1 2
102 1 60 69    130.5 192   153   3834 1430 579 79.7 1 2
103 3 60 68    135   194   148   3876 1586 555 76.3 1 2
104 3 62 65    130.5 187   150   3661 1320 548 80.2 1 2
105 1 70 67    128   191   148   3618 1290 565 77.5 1 2
106 1 59 67.5  126.5 191   151   3648 1260 558 79.0 1 2
