obsname S1 L1 P1 S2 L2 P2 S3 L3 P3 S4 L4 P4 S5 L5 P5 log.RAI
VESSK    -2.6931 -2.5271 -1.2871  3.0777  0.3891 -0.0701  1.9607 -1.6324  0.5746  1.9607 -1.6324  0.5746  2.8369  1.4092 -3.1398  0.00
VESAK    -2.6931 -2.5271 -1.2871  3.0777  0.3891 -0.0701  1.9607 -1.6324  0.5746  0.0744 -1.7333  0.0902  2.8369  1.4092 -3.1398  0.28
VEASK    -2.6931 -2.5271 -1.2871  3.0777  0.3891 -0.0701  0.0744 -1.7333  0.0902  1.9607 -1.6324  0.5746  2.8369  1.4092 -3.1398  0.20
VEAAK    -2.6931 -2.5271 -1.2871  3.0777  0.3891 -0.0701  0.0744 -1.7333  0.0902  0.0744 -1.7333  0.0902  2.8369  1.4092 -3.1398  0.51
VKAAK    -2.6931 -2.5271 -1.2871  2.8369  1.4092 -3.1398  0.0744 -1.7333  0.0902  0.0744 -1.7333  0.0902  2.8369  1.4092 -3.1398  0.11
VEWAK    -2.6931 -2.5271 -1.2871  3.0777  0.3891 -0.0701 -4.7548  3.6521  0.8524  0.0744 -1.7333  0.0902  2.8369  1.4092 -3.1398  2.73
VEAAP    -2.6931 -2.5271 -1.2871  3.0777  0.3891 -0.0701  0.0744 -1.7333  0.0902  0.0744 -1.7333  0.0902 -1.2201  0.8829  2.2253  0.18
VEHAK    -2.6931 -2.5271 -1.2871  3.0777  0.3891 -0.0701  2.4064  1.7438  1.1057  0.0744 -1.7333  0.0902  2.8369  1.4092 -3.1398  1.53
VAAAK    -2.6931 -2.5271 -1.2871  0.0744 -1.7333  0.0902  0.0744 -1.7333  0.0902  0.0744 -1.7333  0.0902  2.8369  1.4092 -3.1398 -0.10
GEAAK     2.2261 -5.3648  0.3049  3.0777  0.3891 -0.0701  0.0744 -1.7333  0.0902  0.0744 -1.7333  0.0902  2.8369  1.4092 -3.1398 -0.52
